AllGroups	DefaultGroups	EvenOdd	G1	G2	G3	G4	G5	G6	LibraryID	MQScore	MZErrorPPM	MassDiff	ProteoSAFeClusterLink	RTMean	RTStdErr	Smiles	SpectrumID	UniqueFileSources	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=13	369.55	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	13	-1	1	222.214	1	222.214	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=14	337.53	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	14	-1	1	333.153	1	333.153	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=15	592.44	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	15	265	1	182.985	1	182.985	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=16	329.98	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	16	-1	1	646.265	1	646.265	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=17	331.72	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	17	-1	1	338.108	1	338.108	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=18	188.66	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	18	-1	1	152.975	1	152.975	0
 	G1	1	1	0	0	0	0	0	PGD2-EA	0.816984	201853	79.9893	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=19	299.13	0.0	N/A	CCMSLIB00000511028	1807_Psoriasis_GNPS_v2.mgf	1	19	275	1	316.285	1	316.285	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=20	603.77	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	20	265	1	141.959	1	141.959	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=21	444.34	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	21	-1	1	425.288	1	425.288	0
 	G1	0	1	0	0	0	0	0	(-)-Hydroxycitric acid lactone	0.864069	162547	31.0494	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=22	597.17	0.0	C1C(=O)OC(C1(C(=O)O)O)C(=O)O	CCMSLIB00003401465	1807_Psoriasis_GNPS_v2.mgf	1	22	-1	1	159.969	1	159.969	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=23	191.32	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	23	334	1	428.022	1	428.022	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=24	300.51	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	24	838	1	666.334	1	666.334	0
 	G1	0	1	0	0	0	0	0	Sorbitane Monooleate - Polysorbate 80 in-source fragment	0.885229	67767.4	29.0295	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=25	303.17	0.0	CCCCCCCCC=CCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	CCMSLIB00000577480	1807_Psoriasis_GNPS_v2.mgf	1	25	22	1	457.4	1	457.4	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=26	497.39	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	26	-1	1	256.264	1	256.264	0
 	G1	0	1	0	0	0	0	0	Spectral Match to Hexanedioic acid, bis(2-ethylhexyl) ester from NIST14	0.774007	139870	51.9357	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=27	416.88	0.0	N/A	CCMSLIB00003135411	1807_Psoriasis_GNPS_v2.mgf	1	27	-1	1	423.251	1	423.251	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=28	602.37	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	28	-1	1	89.5064	1	89.5064	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=29	0.0	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	29	-1	1	124.087	1	124.087	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=30	417.38	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	30	-1	1	445.233	1	445.233	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=31	191.71	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	31	334	1	469.514	1	469.514	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=32	599.76	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	32	-1	1	99.013	1	99.013	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=33	372.17	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	33	-1	1	163.075	1	163.075	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=34	377.29	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	34	-1	1	702.328	1	702.328	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=35	606.47	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	35	-1	1	959.966	1	959.966	0
 	G1	1	1	0	0	0	0	0	Erucamide	0.815544	0.631383	0.000213623	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=36	507.17	0.0	CCCCCCCCC=CCCCCCCCCCCCC(=O)N	CCMSLIB00003270769	1807_Psoriasis_GNPS_v2.mgf	1	36	199	1	338.341	1	338.341	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=37	486.91	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	37	-1	1	337.105	1	337.105	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=38	382.95	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	38	22	1	425.41	1	425.41	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=39	373.23	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	39	124	1	360.18	1	360.18	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=40	188.87	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	40	-1	1	418.952	1	418.952	0
 	G1	1	1	0	0	0	0	0	valine	0.96334	406436	47.996	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=41	52.93	0.0	 	CCMSLIB00000081780	1807_Psoriasis_GNPS_v2.mgf	1	41	-1	1	166.086	1	166.086	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=42	439.84	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	42	-1	1	337.105	1	337.105	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=43	0.0	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	43	-1	1	124.087	1	124.087	0
 	G1	0	1	0	0	0	0	0	CocamidopropylBetaine	0.915531	0.266687	9.15527e-05	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=44	284.97	0.0	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]	CCMSLIB00000077206	1807_Psoriasis_GNPS_v2.mgf	1	44	22	1	343.296	1	343.296	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=45	243.11	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	45	265	1	186.131	1	186.131	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=46	534.91	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	46	-1	1	337.105	1	337.105	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=47	550.51	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	47	50	1	637.968	1	637.968	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=48	564.3	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	48	50	1	666.988	1	666.988	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=49	337.65	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	49	-1	1	337.105	1	337.105	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=50	524.55	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	50	-1	1	284.294	1	284.294	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=51	443.76	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	51	-1	1	413.323	1	413.323	0
 	G1	0	1	0	0	0	0	0	Tripropylene glycol	0.760406	300328	58.0063	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=52	161.17	0.0	CC(CO)OCC(C)OCC(C)O	CCMSLIB00003230455	1807_Psoriasis_GNPS_v2.mgf	1	52	64	1	251.15	1	251.15	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=53	519.28	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	53	-1	1	429.372	1	429.372	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=54	300.19	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	54	157	1	649.308	1	649.308	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=55	592.81	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	55	-1	1	111.02	1	111.02	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=56	330.88	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	56	-1	1	105.033	1	105.033	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=57	404.13	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	57	-1	1	473.344	1	473.344	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=58	393.37	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	58	-1	1	270.315	1	270.315	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=59	459.42	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	59	457	1	257.247	1	257.247	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=60	370.27	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	60	22	1	429.404	1	429.404	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=61	438.17	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	61	-1	1	628.499	1	628.499	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=62	328.31	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	62	-1	1	887.389	1	887.389	0
 	G1	1	1	0	0	0	0	0	C17_Sphingosine 	0.927169	48959.1	14.0157	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=63	334.48	0.0	CCCCCCCCCCCCC=CC(C(CO)N)O	CCMSLIB00000077201	1807_Psoriasis_GNPS_v2.mgf	1	63	22	1	300.29	1	300.29	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=64	91.47	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	64	915	1	337.104	1	337.104	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=65	442.22	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	65	-1	1	457.35	1	457.35	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=66	401.29	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	66	-1	1	337.105	1	337.105	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=67	118.05	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	67	915	1	337.105	1	337.105	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=68	578.75	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	68	50	1	696.009	1	696.009	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=69	539.47	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	69	50	1	608.946	1	608.946	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=70	301.36	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	70	-1	1	230.248	1	230.248	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=71	403.23	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	71	-1	1	429.318	1	429.318	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=72	403.63	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	72	-1	1	385.293	1	385.293	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=73	546.22	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	73	-1	1	394.347	1	394.347	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=74	544.8	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	74	50	1	640.448	1	640.448	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=75	190.86	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	75	334	1	458.532	1	458.532	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=76	370.02	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	76	-1	1	573.173	1	573.173	0
 	G1	0	1	0	0	0	0	0	CocamidopropylBetaine	0.921127	81652.3	28.0309	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=77	320.11	0.0	CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC(=O)[O-]	CCMSLIB00000077206	1807_Psoriasis_GNPS_v2.mgf	1	77	22	1	371.327	1	371.327	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=78	147.83	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	78	-1	1	241.152	1	241.152	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=79	191.61	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	79	334	1	456.02	1	456.02	0
 	G1	1	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=80	341.71	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	80	-1	1	208.198	1	208.198	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=81	445.37	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	81	-1	1	369.298	1	369.298	0
 	G1	0	1	0	0	0	0	0	N/A	N/A	N/A	N/A	https://gnps.ucsd.edu//ProteoSAFe/result.jsp?task=61ba43c731174b01b3497307dfe9dc17&view=cluster_details&protein=82	562.87	0.0	N/A	N/A	1807_Psoriasis_GNPS_v2.mgf	1	82	50	1	669.968	1	669.968	0
