	ScanID	CompoundID	Pathway	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename	InchiKey	KEGG
47	541	C16525	map01040	M+H	2091396	1	cis-11,14-Eicosadienoic acid	Isolated	NIST	0.0	spectra/specs_ms.pklbin541	InChI=1S/C20H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20(21)22/h6-7,9-10H,2-5,8,11-19H2,1H3,(H,21,22)/b7-6-,10-9-		HCD	Positive	ESI	309.279	lib-00026.mgf	Bronze	3	0.837251	90635.7	28.0317	1	NIST17	NIST	309.279		376.81	10	CCCCCC=CCC=CCCCCCCCCCC(=O)O	1	281.247	specs_ms.pklbin	CCMSLIB00003336342	54199	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	XSXIVVZCUAHUJO-HZJYTTRNSA-N	None
48	928	D07472	map01523	M+H-C5H7NO3	137281233	1	Pemetrexed	Isolated	NIST	0.0	spectra/specs_ms.pklbin928	InChI=1S/C20H21N5O6/c21-20-24-16-15(18(29)25-20)12(9-22-16)6-3-10-1-4-11(5-2-10)17(28)23-13(19(30)31)7-8-14(26)27/h1-2,4-5,9,13H,3,6-8H2,(H,23,28)(H,26,27)(H,30,31)(H4,21,22,24,25,29)/t13-/m0/s1		HCD	Positive	ESI	299.11400000000003	lib-00026.mgf	Bronze	3	0.83211	200549.0	59.9871	1	NIST17	NIST	299.11400000000003		218.85	4	C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)NC(CCC(=O)O)C(=O)O	1	239.127	specs_ms.pklbin	CCMSLIB00003515060	42443	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	WBXPDJSOTKVWSJ-ZDUSSCGKSA-N	None
50	4275	C05293	map00140	M+H	571222	1	5.beta.-Dihydrotestosterone	Isolated	NIST	0.0	spectra/specs_ms.pklbin4275	InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3/t12-,14+,15+,16+,17+,18+,19+/m1/s1		HCD	Positive	ESI	291.232	lib-00026.mgf	Bronze	3	0.82499	171738.0	50.0155	1	NIST17	NIST	291.232		397.83	5	CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4O)C	1	241.21599999999998	specs_ms.pklbin	CCMSLIB00003705808	535	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	NVKAWKQGWWIWPM-MISPCMORSA-N	None
51	182	C01753	map00100	M+H-H2O	83465	1	.beta.-Sitosterol	Isolated	NIST	0.0	spectra/specs_ms.pklbin182	InChI=1S/C29H50O/c1-7-21(19(2)3)9-8-20(4)25-12-13-26-24-11-10-22-18-23(30)14-16-28(22,5)27(24)15-17-29(25,26)6/h10,19-21,23-27,30H,7-9,11-18H2,1-6H3/t20-,21-,23+,24+,25-,26+,27+,28+,29-/m1/s1		HCD	Positive	ESI	397.38300000000004	lib-00026.mgf	Bronze	3	0.8188529999999999	5072.48	2.01572	1	NIST17	NIST	397.38300000000004		508.67	13	CCC(CCC(C)C1CCC2C1(CCC3C2CC=C4C3(CCC(C4)O)C)C)C(C)C	1	395.36699999999996	specs_ms.pklbin	CCMSLIB00003718147	40660	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	KZJWDPNRJALLNS-VJSFXXLFSA-N	None
55	3610	C06562	map00941	M+H	154234	1	(+)-Catechin	Isolated	NIST	0.0	spectra/specs_ms.pklbin3610	InChI=1S/C15H14O6/c16-8-4-11(18)9-6-13(20)15(21-14(9)5-8)7-1-2-10(17)12(19)3-7/h1-5,13,15-20H,6H2/t13-,15+/m0/s1		Q-TOF	Positive	ESI	291.086	lib-00026.mgf	Bronze	3	0.817913	6734.1	1.9602099999999998	1	NIST17	NIST	291.086		138.69	6	C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O	1	289.126	specs_ms.pklbin	CCMSLIB00003182071	11634	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	PFTAWBLQPZVEMU-DZGCQCFKSA-N	None
58	741	C02576	map00903	M+H+H2O	2111753	1	Perillaldehyde	Isolated	NIST	0.0	spectra/specs_ms.pklbin741	InChI=1S/C10H14O/c1-8(2)10-5-3-9(7-11)4-6-10/h3,7,10H,1,4-6H2,2H3		HCD	Positive	ESI	169.122	lib-00026.mgf	Bronze	3	0.81181	153823.0	26.0149	1	NIST17	NIST	169.122		258.1	5	CC(=C)C1CCC(=CC1)C=O	1	195.137	specs_ms.pklbin	CCMSLIB00003271411	3612	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	RUMOYJJNUMEFDD-UHFFFAOYSA-N	None
59	2428	C14807	map00590	M+NH4	108437-64-5	1	Eicosanoids_12-oxoETE_C20H30O3	Commercial	lfnothias	318.22	spectra/specs_ms.pklbin2428	InChI=1S/C20H30O3/c1-2-3-4-5-10-13-16-19(21)17-14-11-8-6-7-9-12-15-18-20(22)23/h7-11,13-14,17H,2-6,12,15-16,18H2,1H3,(H,22,23)/b9-7-,11-8-,13-10-,17-14+		qTof	Positive	LC-ESI	336.25300000000004	lib-00021.mgf	Gold	1	0.802171	0.635305	0.000213623	1	GNPS-COLLECTIONS-MISC	Dorrestein/Wu	336.25300000000004		434.68	4	CCCCCC=CCC(=O)C=CC=CCC=CCCCC(=O)O	1	336.25300000000004	specs_ms.pklbin	CCMSLIB00001058280	22612	UPDATE-SINGLE-ANNOTATED-GOLD	 	specs_ms.pklbin	GURBRQGDZZKITB-VXBMJZGYSA-N	None
60	1247	C14766	map00591	M+H	54232596	1	Spectral Match to 9-Oxo-10E,12Z-octadecadienoic acid from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.pklbin1247	InChI=1S/C18H30O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h6,8,11,14H,2-5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b8-6-,14-11+		qTof	Positive	LC-ESI	295.226	lib-00025.mgf	Bronze	3	0.797979	1.65392	0.00048828099999999997	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	295.226		328.35	10	CCCCCC=CC=CC(=O)CCCCCCCC(=O)O	1	295.22700000000003	specs_ms.pklbin	CCMSLIB00003136345	11760	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	LUZSWWYKKLTDHU-ZJHFMPGASA-N	None
61	3990	C11398	map00903	M+H	5524050	1	(+)-Dihydrocervone	Isolated	NIST	0.0	spectra/specs_ms.pklbin3990	InChI=1S/C10H16O/c1-7(2)9-5-4-8(3)10(11)6-9/h8-9H,1,4-6H2,2-3H3/t8-,9-/m1/s1		HCD	Positive	ESI	153.127	lib-00026.mgf	Bronze	3	0.7954600000000001	444241.0	68.0255	1	NIST17	NIST	153.127		176.66	4	CC1CCC(CC1=O)C(=C)C	1	221.153	specs_ms.pklbin	CCMSLIB00003574852	1891	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	AZOCECCLWFDTAP-RKDXNWHRSA-N	None
63	5997	C00158	map00020	M+H	77-92-9	0	Citric acid	Isolated		0.0	spectra/specs_ms.pklbin5997	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)		LC-ESI-QTOF	Positive-0eV	LC-ESI	193.03400000000002	lib-00027.mgf	Bronze	3	0.794289	51913.2	10.021	1	METLIN	Metlin	193.03400000000002		170.12	5		1	203.055	specs_ms.pklbin	CCMSLIB00000512982	4452	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin	KRKNYBCHXYNGOX-UHFFFAOYSA-N	None
