source	experimentName	confidence	inchikey2D	inchi	molecularFormula	rank	score	name	smiles	xlogp	pubchemids	links
1807_Psoriasis_SIRIUS_v2	1010	0.0	PHWGDDTYEJWTQK	InChI=1S/C22H26O6/c1-22(2,28-4)12-11-16-18(25)13-19(27-3)20(21(16)26)17(24)10-7-14-5-8-15(23)9-6-14/h5-10,13,23,25-26H,11-12H2,1-4H3	C22H26O6	1	-177.26292393233237	""	CC(C)(CCC1=C(C=C(C(=C1O)C(=O)C=CC2=CC=C(C=C2)O)OC)O)OC		122363514	""
1807_Psoriasis_SIRIUS_v2	100	0.0	KEXNVBSLXJLOPR	InChI=1S/C20H36O4/c1-2-3-13-16-19(24-23)17-14-11-9-7-5-4-6-8-10-12-15-18-20(21)22/h9,11,14,17,19,23H,2-8,10,12-13,15-16,18H2,1H3,(H,21,22)	C20H36O4	1	-91.51124074096077	15-hydroperoxyicosa-11,13-dienoic acid	CCCCCC(C=CC=CCCCCCCCCCC(=O)O)OO		1438;5282869;6610232;98090769;98467926;124554393	""
1807_Psoriasis_SIRIUS_v2	1005	0.0	
1807_Psoriasis_SIRIUS_v2	1026	0.0	GJKHFVLTPCAKAU	InChI=1S/C26H40N6O10/c33-13-15-19(35)21(37)23(41-15)31-11-7-17(29-25(31)39)27-9-5-3-1-2-4-6-10-28-18-8-12-32(26(40)30-18)24-22(38)20(36)16(14-34)42-24/h7-8,11-12,15-16,19-24,33-38H,1-6,9-10,13-14H2,(H,27,29,39)(H,28,30,40)	C26H40N6O10	1	-308.8057339311189	1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4-[8-[[1-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-2-oxopyrimidin-4-yl]amino]octylamino]pyrimidin-2-one	C(CCCCN=C1C=CN(C2C(C(C(CO)O2)O)O)C(=N1)O)CCCN=C3C=CN(C4C(C(C(CO)O4)O)O)C(=N3)O		14628873	""
1807_Psoriasis_SIRIUS_v2	1032	0.0	KWIUHFFTVRNATP	InChI=1S/C5H11NO2/c1-6(2,3)4-5(7)8/h4H2,1-3H3	C5H11NO2	1	-70.20156000393516	Abromine	C[N+](C)(C)CC(=O)[O-]		247;248;11073713;12718901;16213878;45038329;51038295;51038296;51038297;51038298;71776458;117065540;117065541;124202881;124202882	HMDB:(59606);KNApSAcK:(7291);Natural Products:(UNPD327 UNPD173950);CHEBI:(17750);HSDB:(107-43-7);KEGG:(C00719);Plantcyc:(BETAINE);YMDB:(1516)
1807_Psoriasis_SIRIUS_v2	1052	0.0	
1807_Psoriasis_SIRIUS_v2	1044	0.0	
1807_Psoriasis_SIRIUS_v2	1036	0.0	PCDIXRCLKWJMRS	InChI=1S/C14H31N7O5/c15-3-5-25-13-9(11(23)10(22)8(6-16)26-13)21-12(24)7(17)2-1-4-20-14(18)19/h7-11,13,22-23H,1-6,15-17H2,(H,21,24)(H4,18,19,20)	C14H31N7O5	1	-251.82939246070586	""	C(CC(C(=NC1C(C(C(CN)OC1OCCN)O)O)O)N)CNC(=N)N		10571641	""
1807_Psoriasis_SIRIUS_v2	1042	0.0	SQKQLNBOGMDCIC	InChI=1S/C33H50O5/c1-20(34)38-25-11-12-31(6)24(28(25,2)3)10-13-33(8)26(31)23(35)18-21-22-19-30(5,27(36)37-9)15-14-29(22,4)16-17-32(21,33)7/h18,22,24-26H,10-17,19H2,1-9H3	C33H50O5	1	-53.71484334983201	Oprea1_580613	CC(=O)OC1CCC2(C)C(CCC3(C)C2C(=O)C=C4C5CC(C)(CCC5(C)CCC43C)C(=O)OC)C1(C)C		3280140;16095625;16401239;18648208;21594142;21633153;40884479;40884481;49827611;51448975;72194049;110273667;122394786;125040195;125040196;125040197;125040198	Natural Products:(UNPD8486)
1807_Psoriasis_SIRIUS_v2	1033	0.0	
1807_Psoriasis_SIRIUS_v2	1046	0.0	XAWXCBJSEOAENA	InChI=1S/C12H20N3O4/c1-7(2)9-5-4-8(3)10(6-9)19-12(16)11(14-13)15(17)18/h7-10H,4-6H2,1-3H3,(H,17,18)	C12H20N3O4	1	-372.6472049858059	""	CC(C)C1CCC(C)C(C1)OC(=O)C(=N(=O)O)N=[N]		101092572	""
1807_Psoriasis_SIRIUS_v2	1047	0.0	WLJQSDNNCMDXBS	InChI=1S/C25H52O6/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-16-27-18-20-29-22-24-31-25-23-30-21-19-28-17-15-26/h26H,2-25H2,1H3	C25H52O6	1	-65.70332122556023	""	CCCCCCCCCCCCCCCOCCOCCOCCOCCOCCO		14974000	""
1807_Psoriasis_SIRIUS_v2	1039	0.0	MDLLMOACRJFZMV	InChI=1S/C21H22O3/c1-22-19-12-10-17(11-13-19)8-6-4-5-7-9-18-16-20(23-2)14-15-21(18)24-3/h4-16H,1-3H3	C21H22O3	1	-126.6902112702636	1,4-dimethoxy-2-[(1E,3E,5E)-6-(4-methoxyphenyl)hexa-1,3,5-trienyl]benzene	COC1=CC=C(C=CC=CC=CC2=CC(=CC=C2OC)OC)C=C1		21549784	""
1807_Psoriasis_SIRIUS_v2	1041	0.0	RKWGGPVXNQVHQF	InChI=1S/C22H45NO3/c1-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(26)21(19-24)23-20(2)25/h21-22,24,26H,3-19H2,1-2H3,(H,23,25)	C22H45NO3	1	-72.25832743704198	""	CCCCCCCCCCCCCCCCCC(C(CO)N=C(C)O)O		54272090	""
1807_Psoriasis_SIRIUS_v2	1051	0.0	IDAAXUKZHLRTNB	InChI=1S/C30H44N4O3/c1-3-16-33-17-13-27(14-18-33)34-22-26(20-29(34)30(35)31-15-19-36-2)32-21-24-9-11-28(12-10-24)37-23-25-7-5-4-6-8-25/h4-12,26-27,29,32H,3,13-23H2,1-2H3,(H,31,35)	C30H44N4O3	1	-293.0173928684651	Ambcb64829109	CCCN1CCC(CC1)N2CC(CC2C(=NCCOC)O)NCC3=CC=C(C=C3)OCC4=CC=CC=C4		28375737	""
1807_Psoriasis_SIRIUS_v2	1027	0.0	YCQFFZGIYDCKFD	InChI=1S/C31H48O2/c1-20(2)21-11-13-28(5)22(21)12-14-30(7)25(28)10-9-23-24-19-27(3,4)15-17-31(24,26(32)33-8)18-16-29(23,30)6/h9,21-22,24-25H,1,10-19H2,2-8H3	C31H48O2	1	-93.0966695658705	""	C=C(C)C1CCC2(C)C1CCC3(C)C2CC=C4C5CC(C)(C)CCC5(CCC43C)C(=O)OC		101032989	""
1807_Psoriasis_SIRIUS_v2	1035	0.0	LFOXSNUFDZVOMF	InChI=1S/C8H17NO4/c9-4-3-6(10)1-2-7(11)5-8(12)13/h6-7,10-11H,1-5,9H2,(H,12,13)	C8H17NO4	1	-123.88386466221719	""	C(CC(CC(=O)O)O)C(CCN)O		57050726	""
1807_Psoriasis_SIRIUS_v2	1037	0.0	ITRZNVYXOFOBRV	InChI=1S/C18H32O3/c1-2-3-4-8-11-14-17(19)15-12-9-6-5-7-10-13-16-18(20)21/h11,14H,2-10,12-13,15-16H2,1H3,(H,20,21)	C18H32O3	1	-49.654267893934446	(Z)-11-oxooctadec-12-enoic Acid	CCCCCC=CC(=O)CCCCCCCCCC(=O)O		11415232;44543287	Natural Products:(UNPD64642)
1807_Psoriasis_SIRIUS_v2	1059	0.0	KJDZDTDNIULJBE	InChI=1S/C22H42O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22(23)24/h11-12H,2-10,13-21H2,1H3,(H,23,24)	C22H42O2	1	-61.622220983823695	cetoleate	CCCCCCCCCCC=CCCCCCCCCCC(=O)O		160494;5282771;5312549;5460982	HMDB:(31013);Natural Products:(UNPD73373 UNPD100260 UNPD220239);CHEBI:(32428 32429)
1807_Psoriasis_SIRIUS_v2	1058	0.0	AUTHCICQTBEIAO	InChI=1S/C20H37N7O7/c1-10(2)16(24)19(32)27-13(9-15(23)29)18(31)25-11(5-3-4-8-21)17(30)26-12(20(33)34)6-7-14(22)28/h10-13,16H,3-9,21,24H2,1-2H3,(H2,22,28)(H2,23,29)(H,25,31)(H,26,30)(H,27,32)(H,33,34)	C20H37N7O7	1	-198.479370820402	5-amino-2-[[6-amino-2-[[4-amino-2-[(2-amino-3-methylbutanoyl)amino]-4-oxobutanoyl]amino]hexanoyl]amino]-5-oxopentanoic acid	CC(C)C(C(=NC(CC(=N)O)C(=NC(CCCCN)C(=NC(CCC(=N)O)C(=O)O)O)O)O)N		20047884	""
1807_Psoriasis_SIRIUS_v2	1031	0.0	ACHDMUPTZYZIGR	InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)	C18H28O3	1	-117.8830953943102	9-Oxo-10,12,15-odta	CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O		3017510;6365597;11380794;97102606;97102607;124933416	Natural Products:(UNPD131773)
1807_Psoriasis_SIRIUS_v2	1045	0.0	RQXBHXSBLSHCPO	InChI=1S/C18H32O5/c1-2-13(19)10-11-15-14(16(20)12-17(15)21)8-6-4-3-5-7-9-18(22)23/h10-11,13-17,19-21H,2-9,12H2,1H3,(H,22,23)	C18H32O5	1	-86.26791341833214	""	CCC(C=CC1C(CCCCCCCC(=O)O)C(CC1O)O)O		102026575;122370783;126457310	""
1807_Psoriasis_SIRIUS_v2	1057	0.0	
1807_Psoriasis_SIRIUS_v2	1054	0.0	BCXDNOQYOYWDON	InChI=1S/C19H30N6O6/c1-4-11-23-14-17(20)21-9-22-18(14)25(11)19-16(29)15(28)10(31-19)8-12(26)24(3)7-6-13(27)30-5-2/h9-10,12,15-16,19,26,28-29H,4-8H2,1-3H3,(H2,20,21,22)	C19H30N6O6	1	-272.87740437218156	""	CCC1=NC2=C(N=CN=C2N)N1C3C(C(C(CC(N(C)CCC(=O)OCC)O)O3)O)O		25182130	""
1807_Psoriasis_SIRIUS_v2	1063	0.0	QWHKYVBQPAUEPF	InChI=1S/C19H40O3/c1-3-5-7-9-11-13-15-21-18-19(17-20)22-16-14-12-10-8-6-4-2/h19-20H,3-18H2,1-2H3	C19H40O3	1	-79.4355658344167	diC8 ether	CCCCCCCCOCC(CO)OCCCCCCCC		372442;54250332;71348813	Plantcyc:(CPD0-1810);Biocyc:(CPD0-1810)
1807_Psoriasis_SIRIUS_v2	1062	0.0	
1807_Psoriasis_SIRIUS_v2	1065	0.0	NUIWGACHQJGHHS	InChI=1S/C13H20O2/c1-10(2)8-13(15)9-11(3)6-5-7-12(4)14/h6,8H,5,7,9H2,1-4H3	C13H20O2	1	-99.12272989878049	(5E)-6,10-dimethylundeca-5,9-diene-2,8-dione	CC(=CC(=O)CC(=CCCC(=O)C)C)C		21775089	Natural Products:(UNPD128740)
1807_Psoriasis_SIRIUS_v2	1064	0.0	
1807_Psoriasis_SIRIUS_v2	1068	0.0	
1807_Psoriasis_SIRIUS_v2	1085	0.0	WIHLYNPLPOZMMA	InChI=1S/C22H24N6O11/c1-11(2)19(22(33)23-10-18(30)31)25-21(32)15(7-12-3-5-14(29)6-4-12)24-20-16(27(36)37)8-13(26(34)35)9-17(20)28(38)39/h3-6,8-9,11,15,19,24,29H,7,10H2,1-2H3,(H,23,33)(H,25,32)(H,30,31)	C22H24N6O11	1	-324.33905838045274	2,4,6-Trinitrophenyl-tyrosyl-valyl-glycine	CC(C)C(C(=NCC(=O)O)O)N=C(C(CC1=CC=C(C=C1)O)NC2=C(C=C(C=C2N(=O)=O)N(=O)=O)N(=O)=O)O		195053;21126346	""
1807_Psoriasis_SIRIUS_v2	1073	0.0	
1807_Psoriasis_SIRIUS_v2	1071	0.0	YTXOQOALIYROKQ	InChI=1S/C30H57N9O6/c1-22(40)19-34-25(43)13-7-4-10-16-31-28-37-29(32-17-11-5-8-14-26(44)35-20-23(2)41)39-30(38-28)33-18-12-6-9-15-27(45)36-21-24(3)42/h22-24,40-42H,4-21H2,1-3H3,(H,34,43)(H,35,44)(H,36,45)(H3,31,32,33,37,38,39)	C30H57N9O6	1	-261.0802299036676	""	CC(CN=C(CCCCCN=C1NC(=NCCCCCC(=NCC(C)O)O)NC(=NCCCCCC(=NCC(C)O)O)N1)O)O		57495048	""
1807_Psoriasis_SIRIUS_v2	1075	0.0	
1807_Psoriasis_SIRIUS_v2	106	0.0	PKKIDLRVDHFQPE	InChI=1S/C18H34NO3Se/c1-3-4-5-6-7-8-9-10-11-12-13-14-22-18(21)17(15-23)19-16(2)20/h17H,3-15H2,1-2H3,(H,19,20)	C18H34NO3Se	1	-221.17065880242447	""	CCCCCCCCCCCCCOC(=O)C(C[Se])N=C(C)O		49784634	""
1807_Psoriasis_SIRIUS_v2	1079	0.0	IOOXSDMGRJSENV	InChI=1S/C11H18O9/c12-1-5-7(15)8(16)9(17)11(19-5)20-10-4(14)3-18-6(10)2-13/h2,4-12,14-17H,1,3H2	C11H18O9	1	-76.51501162079107	""	C(C1C(C(C(C(O1)OC2C(COC2C=O)O)O)O)O)O			""
1807_Psoriasis_SIRIUS_v2	1074	0.0	
1807_Psoriasis_SIRIUS_v2	1069	0.0	LBPHTRJVVFYJGE	InChI=1S/C23H38O5/c1-16(2)13-14-23(3,4)21(26)12-11-18-17(19(24)15-20(18)25)9-7-5-6-8-10-22(27)28/h11-13,17-18,20-21,25-26H,5-10,14-15H2,1-4H3,(H,27,28)	C23H38O5	1	-122.72854682868996	7-[(1R,2R,3R)-3-hydroxy-2-[(1E,3S)-3-hydroxy-4,4,7-trimethylocta-1,6-dienyl]-5-oxocyclopentyl]heptanoic acid	CC(=CCC(C)(C)C(C=CC1C(CCCCCCC(=O)O)C(=O)CC1O)O)C		13273344;13273345;70518375	""
1807_Psoriasis_SIRIUS_v2	1066	0.0	RZHYVNKJQUQBKI	InChI=1S/C12H16O3/c1-2-3-4-5-10-9(8-12(14)15)6-7-11(10)13/h3-4,8,10H,2,5-7H2,1H3,(H,14,15)	C12H16O3	1	-129.21847181308638	""	CCC=CCC1C(=CC(=O)O)CCC1=O		9899192	""
1807_Psoriasis_SIRIUS_v2	1082	0.0	NYLNHNDMNOPWAZ	InChI=1S/C19H32O7/c1-10-7-12(21)8-19(3,4)13(10)6-5-11(2)25-18-17(24)16(23)15(22)14(9-20)26-18/h7,11,13-18,20,22-24H,5-6,8-9H2,1-4H3	C19H32O7	1	-48.52719746335604	(4R)-3,5,5-trimethyl-4-[(3R)-3-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxybutyl]cyclohex-2-en-1-one	CC1=CC(=O)CC(C)(C)C1CCC(C)OC2C(C(C(C(CO)O2)O)O)O		14135394;14135395;38346950;38346955;38346961;45359543;102383041	HMDB:(40668);KNApSAcK:(32794);Natural Products:(UNPD152372 UNPD11219 UNPD118626)
1807_Psoriasis_SIRIUS_v2	1084	0.0	RTRFJEPLLYIVIH	InChI=1S/C11H18O4/c1-7-3-4-8(5-11(14)15-2)9(7)6-10(12)13/h7-9H,3-6H2,1-2H3,(H,12,13)	C11H18O4	1	-114.66427067402115	""	CC1CCC(CC(=O)OC)C1CC(=O)O		69622561	""
1807_Psoriasis_SIRIUS_v2	1080	0.0	AEDZIVGLWKYFOJ	InChI=1S/C13H29N/c1-3-5-7-9-13(11-12-14)10-8-6-4-2/h13H,3-12,14H2,1-2H3	C13H29N	1	-72.15974768670705	""	CCCCCC(CCCCC)CCN		57010857	""
1807_Psoriasis_SIRIUS_v2	1087	0.0	CMKOHILDAVCSCY	InChI=1S/C9H16O5/c10-7(3-1-5-8(11)12)4-2-6-9(13)14/h7,10H,1-6H2,(H,11,12)(H,13,14)	C9H16O5	1	-67.63264561917039	""	C(CC(CCCC(=O)O)O)CC(=O)O		87674731	""
1807_Psoriasis_SIRIUS_v2	1086	0.0	OGVYHEDNPFAOPJ	InChI=1S/C9H14O2/c1-3-5-7-8(6-4-2)9(10)11/h2,8H,3,5-7H2,1H3,(H,10,11)	C9H14O2	1	-78.20698183321598	2-Butyl-4-yn-valproic acid	CCCCC(CC#C)C(=O)O		134598	""
1807_Psoriasis_SIRIUS_v2	1088	0.0	
1807_Psoriasis_SIRIUS_v2	1089	0.0	CHMXZTPMTNAKFQ	InChI=1S/C14H28N6O2/c1-5-10(7-21)16-13-18-12(15-9(3)4)19-14(20-13)17-11(6-2)8-22/h9-11,21-22H,5-8H2,1-4H3,(H3,15,16,17,18,19,20)	C14H28N6O2	1	-169.9914335175163	""	CCC(CO)N=C1NC(=NC(C)C)NC(=NC(CC)CO)N1		24121957	""
1807_Psoriasis_SIRIUS_v2	1067	0.0	BGKBLVUUJROZRX	InChI=1S/C26H46N6O9/c1-12(2)10-18(31-26(41)22(13(3)4)32-24(39)15(6)28-16(7)33)19(34)11-20(35)30-17(8-9-21(36)37)25(40)29-14(5)23(27)38/h12-15,17-19,22,34H,8-11H2,1-7H3,(H2,27,38)(H,28,33)(H,29,40)(H,30,35)(H,31,41)(H,32,39)(H,36,37)	C26H46N6O9	1	-253.9538943799021	(4S)-4-[[(3S,4S)-4-[[(2S)-2-[[(2S)-2-acetamidopropanoyl]amino]-3-methylbutanoyl]amino]-3-hydroxy-6-methylheptanoyl]amino]-5-[[(2S)-1-amino-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	CC(C)CC(C(CC(=NC(CCC(=O)O)C(=NC(C)C(=N)O)O)O)O)N=C(C(C(C)C)N=C(C(C)N=C(C)O)O)O		5496524	""
1807_Psoriasis_SIRIUS_v2	1055	0.0	
1807_Psoriasis_SIRIUS_v2	1060	0.0	
1807_Psoriasis_SIRIUS_v2	1091	0.0	DISOLCYUTIPZKR	InChI=1S/C37H36O8/c1-9-29(38-17-33-21-42-33)10-2-25(1)37(26-3-11-30(12-4-26)39-18-34-22-43-34,27-5-13-31(14-6-27)40-19-35-23-44-35)28-7-15-32(16-8-28)41-20-36-24-45-36/h1-16,33-36H,17-24H2	C37H36O8	1	-226.6082288625233	""	C1=C(C=CC(=C1)OCC2CO2)C(C3=CC=C(C=C3)OCC4CO4)(C5=CC=C(C=C5)OCC6CO6)C7=CC=C(C=C7)OCC8CO8		57059444	""
1807_Psoriasis_SIRIUS_v2	1093	0.0	RJDQBJBSZHUQFP	InChI=1S/C32H67N/c1-4-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30-31-32-33(5-2)6-3/h4-32H2,1-3H3	C32H67N	1	-64.7639966126434	""	CCCCCCCCCCCCCCCCCCCCCCCCCCCCN(CC)CC		88595211	""
1807_Psoriasis_SIRIUS_v2	1094	0.0	LIUYLNCSKHBNRW	InChI=1S/C31H64O10/c1-3-5-7-8-10-12-31(11-9-6-4-2)41-30-29-40-28-27-39-26-25-38-24-23-37-22-21-36-20-19-35-18-17-34-16-15-33-14-13-32/h31-32H,3-30H2,1-2H3	C31H64O10	1	-155.6866357477245	""	CCCCCCCC(CCCCC)OCCOCCOCCOCCOCCOCCOCCOCCOCCO		87268859	""
1807_Psoriasis_SIRIUS_v2	1092	0.0	CBSQLIKPLOWPGA	InChI=1S/C10H12O3/c1-7(11)9(10(12)13)8-5-3-2-4-6-8/h2-7,9,11H,1H3,(H,12,13)	C10H12O3	1	-123.76015125480203	""	CC(C(C1=CC=CC=C1)C(=O)O)O		12245160	""
1807_Psoriasis_SIRIUS_v2	1097	0.0	
1807_Psoriasis_SIRIUS_v2	1100	0.0	GFJBPCPEAZJVFT	InChI=1S/C18H16N6O3/c19-15(25)11-21-17(26)12-3-1-4-14(9-12)23-18(27)13-5-6-16(20-10-13)24-8-2-7-22-24/h1-10H,11H2,(H2,19,25)(H,21,26)(H,23,27)	C18H16N6O3	1	-219.17471298092747	""	C1=CC(=CC(=C1)C(=NCC(=N)O)O)N=C(C2=CC=C(N=C2)N3C=CC=N3)O		55679246	""
1807_Psoriasis_SIRIUS_v2	109	0.0	BNZAMQBRLRRQRW	InChI=1S/C12H20N2O7S/c1-10(2)18-7-5-17-12(6-14-22(13,15)16)9(8(7)19-10)20-11(3,4)21-12/h6-9H,5H2,1-4H3,(H2,13,15,16)	C12H20N2O7S	1	-246.96611426911088	(3aS,5aR,8aR,8bS)-2,2,7,7-tetramethyl-3a-(sulfamoyliminomethyl)-5,5a,8a,8b-tetrahydrodi[1,3]dioxolo[4,5-a:5'',3''-d]pyran	CC1(C)OC2COC3(C=NS(=O)(=O)N)C(C2O1)OC(C)(C)O3		11999021	""
