#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
1800	M+H	5579668	1	Spectral Match to Decaethylene glycol from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin1800	InChI=1S/C20H42O11/c21-1-3-23-5-7-25-9-11-27-13-15-29-17-19-31-20-18-30-16-14-28-12-10-26-8-6-24-4-2-22/h21-22H,1-20H2	N/A	qTof	Positive	LC-ESI	459.286	lib-00025.mgf	Bronze	3	0.969065	13.2891	0.00610352	1	GNPS-NIST14-MATCHES	Data from Rob Knight and Pieter Dorrestein	459.286	N/A	168.78	18	C(COCCOCCOCCOCCOCCOCCOCCOCCOCCO)O	1	459.28	specs_ms.pklbin	CCMSLIB00003135802	467933	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1193	M+H-C6H10	6373713	1	N-Cyclohexyl-2-nitroaniline	Isolated	NIST	0.0	spectra/specs_ms.pklbin1193	InChI=1S/C12H16N2O2/c15-14(16)12-9-5-4-8-11(12)13-10-6-2-1-3-7-10/h4-5,8-10,13H,1-3,6-7H2	N/A	IT-FT/ion trap with FTMS	Positive	ESI	139.05	lib-00026.mgf	Bronze	3	0.967807	2.19472	0.000305176	1	NIST17	NIST	139.05	N/A	54.23	3	C1CCC(CC1)NC2=CC=CC=C2[N+](=O)[O-]	1	139.05	specs_ms.pklbin	CCMSLIB00003369220	18091	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2033	M+H	2615158	1	Hexaethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.pklbin2033	InChI=1S/C12H26O7/c13-1-3-15-5-7-17-9-11-19-12-10-18-8-6-16-4-2-14/h13-14H,1-12H2	N/A	IT-FT/ion trap with FTMS	Positive	ESI	283.175	lib-00026.mgf	Bronze	3	0.966532	2.15539	0.000610352	1	NIST17	NIST	283.175	N/A	135.79	8	C(COCCOCCOCCOCCOCCO)O	1	283.174	specs_ms.pklbin	CCMSLIB00003303610	70705	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
6	[M+H]+	50-48-6	1	Massbank:FIO00474 Amitryptiline	Isolated	Massbank	0.0	spectra/specs_ms.pklbin6	1S/C20H23N/c1-21(2)15-7-12-20-18-10-5-3-8-16(18)13-14-17-9-4-6-11-19(17)20/h3-6,8-12H,7,13-15H2,1-2H3	N/A	LC-ESI-QTOF	Positive	ESI	278.191	lib-00003.mgf	Bronze	3	0.965945	2.9619	0.000823975	1	MASSBANK	Putative Massbank Match	278.191	N/A	251.35	11	CN(C)CCC=C(c21)c(c3)c(ccc3)CCc(cccc2)1	1	278.19	specs_ms.pklbin	CCMSLIB00000214320	143538	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2436	M+H	4792158	1	Pentaethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.pklbin2436	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	N/A	HCD	Positive	ESI	239.149	lib-00026.mgf	Bronze	3	0.965702	0.829459	0.000198364	1	NIST17	NIST	239.149	N/A	118.46	7	C(COCCOCCOCCOCCO)O	1	239.149	specs_ms.pklbin	CCMSLIB00003440919	18066	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
5809	M+H-H2O	36062041	1	Tetrahydrocurcumin	Isolated	NIST	0.0	spectra/specs_ms.pklbin5809	InChI=1S/C21H24O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h5-6,9-12,24-25H,3-4,7-8,13H2,1-2H3	N/A	HCD	Positive	ESI	355.154	lib-00026.mgf	Bronze	3	0.963629	0.343711	0.00012207	1	NIST17	NIST	355.154	N/A	256.79	5	COC1=C(C=CC(=C1)CCC(=O)CC(=O)CCC2=CC(=C(C=C2)O)OC)O	1	355.154	specs_ms.pklbin	CCMSLIB00003271325	77802	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1696	M+H	698760	1	.delta.-Octalactone	Isolated	NIST	0.0	spectra/specs_ms.pklbin1696	InChI=1S/C8H14O2/c1-2-4-7-5-3-6-8(9)10-7/h7H,2-6H2,1H3	N/A	HCD	Positive	ESI	143.107	lib-00026.mgf	Bronze	3	0.961923	1.38613	0.000198364	1	NIST17	NIST	143.107	N/A	170.46	3	CCCC1CCCC(=O)O1	1	143.107	specs_ms.pklbin	CCMSLIB00003625391	33606	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1131	M+H	126738	1	Tributyl phosphate	Isolated	NIST	0.0	spectra/specs_ms.pklbin1131	InChI=1S/C12H27O4P/c1-4-7-10-14-17(13,15-11-8-5-2)16-12-9-6-3/h4-12H2,1-3H3	N/A	HCD	Positive	ESI	267.172	lib-00026.mgf	Bronze	3	0.959537	11.194	0.00299072	1	NIST17	NIST	267.172	N/A	161.81	4	CCCCOP(=O)(OCCCC)OCCCC	1	267.169	specs_ms.pklbin	CCMSLIB00003265730	10735	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
6260	[M+H]+	N/A	1	Massbank: Sulfadimethoxine	Isolated	Massbank	0.0	spectra/specs_ms.pklbin6260	1S/C12H14N4O4S/c1-19-11-7-10(14-12(15-11)20-2)16-21(17,18)9-5-3-8(13)4-6-9/h3-7H,13H2,1-2H3,(H,14,15,16)	N/A	LC-ESI-QTOF	Positive	ESI	311.082	lib-00003.mgf	Bronze	3	0.95787	2.25633	0.000701904	1	MASSBANK	Putative Massbank Match	311.082	N/A	212.31	9	[H]C([H])([H])Oc(n2)nc(c([H])c(OC([H])([H])[H])2)N([H])S(=O)(=O)c(c([H])1)c([H])c([H])c(N([H])[H])c([H])1	1	311.081	specs_ms.pklbin	CCMSLIB00000206398	32373	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2876	M+H	N/A	0	Ser Ser Ile	Isolated	N/A	0.0	spectra/specs_ms.pklbin2876	InChI=1S/C12H23N3O6/c1-3-6(2)9(12(20)21)15-11(19)8(5-17)14-10(18)7(13)4-16/h6-9,16-17H,3-5,13H2,1-2H3,(H,14,18)(H,15,19)(H,20,21)	N/A	qTof	Positive	LC-ESI	306.166	lib-00027.mgf	Bronze	3	0.95783	2.19288	0.000671387	1	METLIN	Metlin	306.166	N/A	62.86	11	CCC(C(NC(C(NC(C(N)CO)=O)CO)=O)C(O)=O)C	1	306.165	specs_ms.pklbin	CCMSLIB00000514467	16131	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2423	M+H	97789	1	N-Lauroylsarcosine	Isolated	NIST	0.0	spectra/specs_ms.pklbin2423	InChI=1S/C15H29NO3/c1-3-4-5-6-7-8-9-10-11-12-14(17)16(2)13-15(18)19/h3-13H2,1-2H3,(H,18,19)	N/A	HCD	Positive	ESI	272.222	lib-00026.mgf	Bronze	3	0.957543	0	0	1	NIST17	NIST	272.222	N/A	350.05	4	CCCCCCCCCCCC(=O)N(C)CC(=O)O	1	272.222	specs_ms.pklbin	CCMSLIB00003446790	32891	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
6326	M+H	144821	1	Sulfamethizole	Isolated	NIST	0.0	spectra/specs_ms.pklbin6326	InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13,14,15)	N/A	IT-FT/ion trap with FTMS	Positive	ESI	271.032	lib-00026.mgf	Bronze	3	0.95669	0	0	1	NIST17	NIST	271.032	N/A	152.78	5	CC1=NN=C(S1)N=S(=O)(C2=CC=C(C=C2)N)O	1	271.032	specs_ms.pklbin	CCMSLIB00003474964	16629	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
311	M+H	123999	1	Spectral Match to Azelaic acid from NIST14	Isolated	Data deposited by aaksenov	0.0	spectra/specs_ms.pklbin311	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	N/A	qTof	Positive	LC-ESI	189.112	lib-00025.mgf	Bronze	3	0.956295	1.61373	0.000305176	1	GNPS-NIST14-MATCHES	Data from Rob Knight	189.112	N/A	194.2	6	O=C(CCCCCCCC(O)=O)O	1	189.112	specs_ms.pklbin	CCMSLIB00003136939	43136	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2945	M+H	94133	1	4-Hydroxybenzoic acid propyl ester	Isolated	NIST	0.0	spectra/specs_ms.pklbin2945	InChI=1S/C10H12O3/c1-2-7-13-10(12)8-3-5-9(11)6-4-8/h3-6,11H,2,7H2,1H3	N/A	HCD	Positive	ESI	181.086	lib-00026.mgf	Bronze	3	0.954876	6.15118	0.00111389	1	NIST17	NIST	181.086	N/A	247.89	3	CCCOC(=O)C1=CC=C(C=C1)O	1	181.085	specs_ms.pklbin	CCMSLIB00003573417	49475	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
3788	M+H+2i	1067987	1	Tri(3-chloropropyl) phosphate	Isolated	NIST	0.0	spectra/specs_ms.pklbin3788	InChI=1S/C9H18Cl3O4P/c10-4-1-7-14-17(13,15-8-2-5-11)16-9-3-6-12/h1-9H2	N/A	HCD	Positive	ESI	329.005	lib-00026.mgf	Bronze	3	0.954571	0.371028	0.00012207	1	NIST17	NIST	329.005	N/A	302.18	5	C(COP(=O)(OCCCCl)OCCCCl)CCl	1	329.005	specs_ms.pklbin	CCMSLIB00003683956	10358	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1979	M+H	134623	1	Spectral Match to Diethyltoluamide from NIST14	Isolated	Data deposited by pmallard	0.0	spectra/specs_ms.pklbin1979	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	qTof	Positive	LC-ESI	192.138	lib-00025.mgf	Bronze	3	0.954358	0.55591	0.000106812	1	GNPS-NIST14-MATCHES	Data from Wolfender/Litaudon	192.138	N/A	259.72	5	O=C(N(CC)CC)c1cccc(C)c1	1	192.138	specs_ms.pklbin	CCMSLIB00003137365	8479	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2467	Cat	42187360	1	Dihexadecyldimethylammonium cation	Isolated	NIST	0.0	spectra/specs_ms.pklbin2467	InChI=1S/C34H72N/c1-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-35(3,4)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-2/h5-34H2,1-4H3/q+1	N/A	HCD	Positive	ESI	494.566	lib-00026.mgf	Bronze	3	0.954012	0.802175	0.000396729	1	NIST17	NIST	494.566	N/A	506.63	4	CCCCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCCCC	1	494.565	specs_ms.pklbin	CCMSLIB00003378799	60251	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1808	M+H	17243140	1	Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14 - Hydroxylated variant ?	Isolated	Data deposited by mernst	0.0	spectra/specs_ms.pklbin1808	InChI=1S/C30H58O5S/c1-3-5-7-8-9-10-11-12-14-18-24-34-29(32)22-26-36-27-23-30(33)35-25-19-15-13-17-21-28(31)20-16-6-4-2/h28,31H,3-27H2,1-2H3	N/A	qTof	Positive	LC-ESI	531.408	lib-00025.mgf	Bronze	3	0.953981	3.1011	0.00164795	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	531.408	N/A	536.85	19	CCCCCC(O)CCCCCCOC(CCSCCC(OCCCCCCCCCCCC)=O)=O	1	531.406	specs_ms.pklbin	CCMSLIB00003140026	75641	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1484	M+H	698760	1	.delta.-Octalactone	Isolated	NIST	0.0	spectra/specs_ms.pklbin1484	InChI=1S/C8H14O2/c1-2-4-7-5-3-6-8(9)10-7/h7H,2-6H2,1H3	N/A	HCD	Positive	ESI	143.107	lib-00026.mgf	Bronze	3	0.953363	1.38613	0.000198364	1	NIST17	NIST	143.107	N/A	206.73	4	CCCC1CCCC(=O)O1	1	143.107	specs_ms.pklbin	CCMSLIB00003625392	7141	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1633	M-H	619647	1	Spectral Match to 4-Ethylbenzoic acid from NIST14	Isolated	Data deposited by mwang87	0.0	spectra/specs_ms.pklbin1633	N/A	N/A	HCD	Negative	ESI	149.062	lib-00025.mgf	Bronze	3	0.952848	6.03956	0.000900269	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	149.062	N/A	298.54	3	N/A	1	149.061	specs_ms.pklbin	CCMSLIB00003138168	84248	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
5581	M+Na	5593204	1	Betamethasone dipropionate	Isolated	NIST	0.0	spectra/specs_ms.pklbin5581	InChI=1S/C28H37FO7/c1-6-23(33)35-15-22(32)28(36-24(34)7-2)16(3)12-20-19-9-8-17-13-18(30)10-11-25(17,4)27(19,29)21(31)14-26(20,28)5/h10-11,13,16,19-21,31H,6-9,12,14-15H2,1-5H3/t16-,19?,20?,21?,25-,26-,27-,28-/m0/s1	N/A	HCD	Positive	ESI	527.242	lib-00026.mgf	Bronze	3	0.952246	0.115763	6.10352e-05	1	NIST17	NIST	527.242	N/A	348.09	3	CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)F)O)C)C)OC(=O)CC	1	527.242	specs_ms.pklbin	CCMSLIB00003284596	1028	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
1795	M+H	3386183	1	Spectral Match to Nonaethylene glycol from NIST14	Isolated	Data deposited by fevargas	0.0	spectra/specs_ms.pklbin1795	InChI=1S/C18H38O10/c19-1-3-21-5-7-23-9-11-25-13-15-27-17-18-28-16-14-26-12-10-24-8-6-22-4-2-20/h19-20H,1-18H2	N/A	qTof	Positive	LC-ESI	415.256	lib-00025.mgf	Bronze	3	0.951862	6.02626	0.00250244	1	GNPS-NIST14-MATCHES	Data from Rob Knight and Pieter Dorrestein	415.256	N/A	162.41	14	OCCOCCOCCOCCOCCOCCOCCOCCOCCO	1	415.254	specs_ms.pklbin	CCMSLIB00003138980	210945	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
416	M+H	134963	1	Syringaldehyde	Isolated	NIST	0.0	spectra/specs_ms.pklbin416	InChI=1S/C9H10O4/c1-12-7-3-6(5-10)4-8(13-2)9(7)11/h3-5,11H,1-2H3	N/A	HCD	Positive	ESI	183.065	lib-00026.mgf	Bronze	3	0.950669	1.66703	0.000305176	1	NIST17	NIST	183.065	N/A	165.7	3	COC1=CC(=CC(=C1O)OC)C=O	1	183.065	specs_ms.pklbin	CCMSLIB00003343021	11343	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
2156	M+H-C10H12F3N	23602780	1	Benfluorex	Isolated	NIST	0.0	spectra/specs_ms.pklbin2156	InChI=1S/C19H20F3NO2/c1-14(12-15-6-5-9-17(13-15)19(20,21)22)23-10-11-25-18(24)16-7-3-2-4-8-16/h2-9,13-14,23H,10-12H2,1H3	N/A	HCD	Positive	ESI	149.06	lib-00026.mgf	Bronze	3	0.948755	11.4651	0.00170898	1	NIST17	NIST	149.06	N/A	360.04	3	CC(CC1=CC(=CC=C1)C(F)(F)F)NCCOC(=O)C2=CC=CC=C2	1	149.061	specs_ms.pklbin	CCMSLIB00003379311	40016	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
41	[M+H]+	N/A	1	Massbank:PB006064 Phenylalanine|(2S)-2-amino-3-phenylpropanoic acid	Isolated	Massbank	0.0	spectra/specs_ms.pklbin41	1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1	N/A	LC-ESI-QTOF	Positive	ESI	166.087	lib-00003.mgf	Bronze	3	0.948354	6.06357	0.00100708	1	MASSBANK	Putative Massbank Match	166.087	N/A	52.93	4	C1=CC=C(C=C1)CC(C(=O)O)N	1	166.086	specs_ms.pklbin	CCMSLIB00000222453	73520	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
201	M+H	 	0	Sorbitane Monopalmitate - Polysorbate 40 in-source fragment	Lysate	AMelnik	0.0	spectra/specs_ms.pklbin201	 	 	qTof	Positive	LC-ESI	402.36	lib-00011.mgf	Bronze	3	0.948254	5.91602	0.00238037	1	GNPS-LIBRARY	PDorrestein	402.36	 	367.55	4	CCCCCCCCCCCCCCCC(=O)OCC(C1C(C(CO1)O)O)O	1	402.358	specs_ms.pklbin	CCMSLIB00000577482	231052	UPDATE-SINGLE-ANNOTATED-BRONZE	Nonionic Surfactant[Source Environment]	specs_ms.pklbin
1501	M+H	530574	1	Spectral Match to Syringic acid from NIST14	Isolated	Data deposited by abouslimani	0.0	spectra/specs_ms.pklbin1501	InChI=1S/C9H10O5/c1-13-6-3-5(9(11)12)4-7(14-2)8(6)10/h3-4,10H,1-2H3,(H,11,12)	N/A	qTof	Positive	LC-ESI	199.06	lib-00025.mgf	Bronze	3	0.947895	0.996505	0.000198364	1	GNPS-NIST14-MATCHES	Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein	199.06	N/A	148.71	7	COC1=CC(C(O)=O)=CC(OC)=C1O	1	199.06	specs_ms.pklbin	CCMSLIB00003139277	10483	UPDATE-SINGLE-ANNOTATED-BRONZE	Trihydroxybenzoic Acid[Chemical Family]	specs_ms.pklbin
5334	M+H	123284	1	Spectral Match to Propanoic acid, 3,3'-thiobis-, didodecyl ester from NIST14	Isolated	Data deposited by Oliver_Vining	0.0	spectra/specs_ms.pklbin5334	InChI=1S/C30H58O4S/c1-3-5-7-9-11-13-15-17-19-21-25-33-29(31)23-27-35-28-24-30(32)34-26-22-20-18-16-14-12-10-8-6-4-2/h3-28H2,1-2H3	N/A	qTof	Positive	LC-ESI	515.413	lib-00025.mgf	Bronze	3	0.943044	5.09206	0.00262451	1	GNPS-NIST14-MATCHES	Data from Kerry McPhail	515.413	N/A	583.88	8	CCCCCCCCCCCCOC(CCSCCC(OCCCCCCCCCCCC)=O)=O	1	515.41	specs_ms.pklbin	CCMSLIB00003134820	11426	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
5634	M+H	36062-04-1	0	Tetrahydrocurcumin	Isolated	N/A	0.0	spectra/specs_ms.pklbin5634	InChI=1S/C21H24O6/c1-26-20-11-14(5-9-18(20)24)3-7-16(22)13-17(23)8-4-15-6-10-19(25)21(12-15)27-2/h5-6,9-12,24-25H,3-4,7-8,13H2,1-2H3	N/A	LC-ESI-QTOF	Positive-10eV	LC-ESI	373.165	lib-00027.mgf	Bronze	3	0.942516	0.245341	9.15527e-05	1	METLIN	Metlin	373.165	N/A	290.73	7	N/A	1	373.164	specs_ms.pklbin	CCMSLIB00000500522	332934	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.pklbin
